trial	xdat	lat	fstCorrect	ErrCorr	AS	Count	Desc
1	132	216	TRUE	FALSE	AS	1	
2	133	NA	FALSE	FALSE	AS	-1	no saccades (getSacs)
3	132	179	TRUE	FALSE	AS	1	
4	133	233	TRUE	FALSE	AS	1	
5	133	211	TRUE	FALSE	AS	1	
6	132	216	TRUE	FALSE	AS	1	
7	133	122	TRUE	FALSE	AS	1	
8	133	248	TRUE	FALSE	AS	1	
9	133	211	TRUE	FALSE	AS	1	
10	133	NA	FALSE	FALSE	AS	-1	moving (16.058 px/60Hz) before target onset
11	132	164	TRUE	FALSE	AS	1	
12	132	223	FALSE	TRUE	AS	2	
13	133	137	TRUE	FALSE	AS	1	
14	133	211	TRUE	FALSE	AS	1	
15	132	292	TRUE	FALSE	AS	1	
16	132	149	FALSE	TRUE	AS	2	
17	133	380	TRUE	FALSE	AS	1	
18	133	NA	FALSE	FALSE	AS	-1	average fixpos(227.412500) is off from baseline(130.500000)!
19	133	122	FALSE	TRUE	AS	2	
20	133	191	TRUE	FALSE	AS	1	
21	133	NA	FALSE	FALSE	AS	-1	moving (20.624 px/60Hz) before target onset
22	133	238	TRUE	FALSE	AS	1	
23	133	NA	FALSE	FALSE	AS	-1	moving (14.428 px/60Hz) before target onset
24	132	189	FALSE	TRUE	AS	2	
25	133	223	TRUE	FALSE	AS	1	
26	132	238	TRUE	FALSE	AS	1	
27	132	245	TRUE	FALSE	AS	1	
28	132	164	TRUE	FALSE	AS	1	
29	132	258	TRUE	FALSE	AS	1	
30	132	132	TRUE	FALSE	AS	1	
31	133	233	FALSE	TRUE	AS	2	
32	133	186	TRUE	FALSE	AS	1	
33	133	76	TRUE	FALSE	AS	1	
34	132	194	FALSE	TRUE	AS	2	
35	133	NA	FALSE	FALSE	AS	-1	moving (33.848 px/60Hz) before target onset
36	132	NA	FALSE	FALSE	AS	-1	moving (4.821 px/60Hz) before target onset
37	132	NA	FALSE	FALSE	AS	-1	start pos too far from center fix
38	132	NA	FALSE	FALSE	AS	-1	average fixpos(249.237500) is off from baseline(130.500000)!
39	133	NA	FALSE	FALSE	AS	-1	average fixpos(232.612500) is off from baseline(130.500000)!
40	133	191	TRUE	FALSE	AS	1	
41	132	204	TRUE	FALSE	AS	1	
42	132	314	TRUE	FALSE	AS	1	
43	132	NA	FALSE	FALSE	AS	-1	moving (29.198 px/60Hz) before target onset
44	133	NA	FALSE	FALSE	AS	-1	average fixpos(195.262500) is off from baseline(130.500000)!
45	133	127	FALSE	TRUE	AS	2	
46	132	154	FALSE	TRUE	AS	2	
47	133	216	TRUE	FALSE	AS	1	
48	132	NA	FALSE	FALSE	AS	-1	moving (35.953 px/60Hz) before target onset
49	132	68	FALSE	TRUE	AS	2	
50	132	179	TRUE	FALSE	AS	1	
51	133	NA	FALSE	FALSE	AS	-1	average fixpos(211.137500) is off from baseline(130.500000)!
52	133	NA	FALSE	FALSE	AS	-1	moving (4.170 px/60Hz) before target onset
53	132	216	TRUE	FALSE	AS	1	
54	133	NA	FALSE	FALSE	AS	-1	moving (7.310 px/60Hz) before target onset
55	132	NA	FALSE	FALSE	AS	-1	average fixpos(213.325000) is off from baseline(130.500000)!
56	132	154	TRUE	FALSE	AS	1	
57	132	172	TRUE	FALSE	AS	1	
58	133	NA	FALSE	FALSE	AS	-1	average fixpos(194.375000) is off from baseline(130.500000)!
59	132	78	FALSE	FALSE	AS	0	
60	132	194	TRUE	FALSE	AS	1	
61	133	NA	FALSE	FALSE	AS	-1	average fixpos(182.262500) is off from baseline(130.500000)!
62	132	196	TRUE	FALSE	AS	1	
63	132	252	FALSE	TRUE	AS	2	
64	132	211	TRUE	FALSE	AS	1	
