trial	xdat	lat	fstCorrect	ErrCorr	AS	Count	Desc
1	132	277	TRUE	FALSE	AS	1	
2	133	186	TRUE	FALSE	AS	1	
3	132	191	TRUE	FALSE	AS	1	
4	133	199	TRUE	FALSE	AS	1	
5	133	208	TRUE	FALSE	AS	1	
6	132	235	TRUE	FALSE	AS	1	
7	133	189	TRUE	FALSE	AS	1	
8	133	231	TRUE	FALSE	AS	1	
9	133	218	TRUE	FALSE	AS	1	
10	133	194	TRUE	FALSE	AS	1	
11	132	184	TRUE	FALSE	AS	1	
12	132	199	TRUE	FALSE	AS	1	
13	133	179	TRUE	FALSE	AS	1	
14	133	186	TRUE	FALSE	AS	1	
15	132	194	TRUE	FALSE	AS	1	
16	132	206	TRUE	FALSE	AS	1	
17	133	201	TRUE	FALSE	AS	1	
18	133	115	TRUE	FALSE	AS	1	
19	133	228	TRUE	FALSE	AS	1	
20	133	NA	FALSE	FALSE	AS	-1	moving (12.951 px/60Hz) before target onset
21	133	309	TRUE	FALSE	AS	1	
22	133	211	TRUE	FALSE	AS	1	
23	133	186	TRUE	FALSE	AS	1	
24	132	235	TRUE	FALSE	AS	1	
25	133	208	TRUE	FALSE	AS	1	
26	132	243	TRUE	FALSE	AS	1	
27	132	201	TRUE	FALSE	AS	1	
28	132	213	TRUE	FALSE	AS	1	
29	132	213	TRUE	FALSE	AS	1	
30	132	206	TRUE	FALSE	AS	1	
31	133	167	TRUE	FALSE	AS	1	
32	133	233	TRUE	FALSE	AS	1	
33	133	231	TRUE	FALSE	AS	1	
34	132	208	TRUE	FALSE	AS	1	
35	133	176	TRUE	FALSE	AS	1	
36	132	186	TRUE	FALSE	AS	1	
37	132	213	TRUE	FALSE	AS	1	
38	132	159	FALSE	TRUE	AS	2	
39	133	122	FALSE	TRUE	AS	2	
40	133	172	TRUE	FALSE	AS	1	
41	132	186	TRUE	FALSE	AS	1	
42	132	199	TRUE	FALSE	AS	1	
43	132	154	TRUE	FALSE	AS	1	
44	133	174	TRUE	FALSE	AS	1	
45	133	NA	FALSE	FALSE	AS	-1	average fixpos(78.875000) is off from baseline(130.500000)!
46	132	127	FALSE	TRUE	AS	2	
47	133	184	TRUE	FALSE	AS	1	
48	132	157	TRUE	FALSE	AS	1	
49	132	221	TRUE	FALSE	AS	1	
50	132	164	TRUE	FALSE	AS	1	
51	133	196	TRUE	FALSE	AS	1	
52	133	159	FALSE	TRUE	AS	2	
53	132	240	TRUE	FALSE	AS	1	
54	133	120	FALSE	TRUE	AS	2	
55	132	169	TRUE	FALSE	AS	1	
56	132	238	TRUE	FALSE	AS	1	
57	132	208	TRUE	FALSE	AS	1	
58	133	218	TRUE	FALSE	AS	1	
59	132	137	FALSE	FALSE	AS	0	
60	132	137	TRUE	FALSE	AS	1	
61	133	221	TRUE	FALSE	AS	1	
62	132	207	TRUE	FALSE	AS	1	
63	132	157	FALSE	TRUE	AS	2	
64	132	240	TRUE	FALSE	AS	1	
65	132	206	TRUE	FALSE	AS	1	
66	133	218	TRUE	FALSE	AS	1	
67	132	201	TRUE	FALSE	AS	1	
68	133	216	TRUE	FALSE	AS	1	
69	132	191	TRUE	FALSE	AS	1	
70	133	137	FALSE	TRUE	AS	2	
71	133	186	TRUE	FALSE	AS	1	
72	132	NA	FALSE	FALSE	AS	-1	moving (10.926 px/60Hz) before target onset
73	132	201	TRUE	FALSE	AS	1	
74	133	206	TRUE	FALSE	AS	1	
75	132	157	TRUE	FALSE	AS	1	
76	132	186	TRUE	FALSE	AS	1	
77	132	179	TRUE	FALSE	AS	1	
78	132	204	TRUE	FALSE	AS	1	
79	132	211	TRUE	FALSE	AS	1	
80	133	181	TRUE	FALSE	AS	1	
81	132	164	TRUE	FALSE	AS	1	
82	132	199	TRUE	FALSE	AS	1	
83	132	68	TRUE	FALSE	AS	1	
84	132	189	TRUE	FALSE	AS	1	
85	133	213	TRUE	FALSE	AS	1	
86	132	184	TRUE	FALSE	AS	1	
87	133	149	TRUE	FALSE	AS	1	
88	133	184	FALSE	TRUE	AS	2	
89	132	176	TRUE	FALSE	AS	1	
90	132	NA	FALSE	FALSE	AS	-1	moving (5.237 px/60Hz) before target onset
91	132	186	TRUE	FALSE	AS	1	
92	133	216	TRUE	FALSE	AS	1	
93	133	181	TRUE	FALSE	AS	1	
94	132	NA	FALSE	FALSE	AS	-1	moving (13.084 px/60Hz) before target onset
95	132	272	TRUE	FALSE	AS	1	
96	133	221	TRUE	FALSE	AS	1	
97	133	167	TRUE	FALSE	AS	1	
98	132	228	TRUE	FALSE	AS	1	
99	132	169	TRUE	FALSE	AS	1	
100	133	221	TRUE	FALSE	AS	1	
