"trial","xdat","lat","fstCorrect","ErrCorr","AS","Count","Desc","id","respuesta","estimulo"
77,132,196,TRUE,FALSE,"AS",1,"",10564,"correct","food"
78,132,196,TRUE,FALSE,"AS",1,"",10564,"correct","food"
79,132,162,TRUE,FALSE,"AS",1,"",10564,"correct","food"
80,133,NA,FALSE,FALSE,"AS",-1,"moving (4.973 px/60Hz) before target onset",10564,"drop","food"
81,132,299,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
82,132,267,TRUE,FALSE,"AS",1,"",10564,"correct","food"
83,132,361,TRUE,FALSE,"AS",1,"",10564,"correct","food"
84,132,326,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
85,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(203.037500) is off from baseline(130.500000)!",10564,"drop","food"
86,132,248,TRUE,FALSE,"AS",1,"",10564,"correct","food"
87,133,243,TRUE,FALSE,"AS",1,"",10564,"correct","food"
88,133,272,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
89,132,NA,FALSE,FALSE,"AS",-1,"moving (19.046 px/60Hz) before target onset",10564,"drop","neutral"
90,132,260,TRUE,FALSE,"AS",1,"",10564,"correct","food"
91,132,238,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
92,133,228,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
93,133,287,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
94,132,228,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
95,132,299,TRUE,FALSE,"AS",1,"",10564,"correct","food"
96,133,130,FALSE,TRUE,"AS",2,"",10564,"incorrect","neutral"
97,133,144,FALSE,TRUE,"AS",2,"",10564,"incorrect","food"
98,132,312,TRUE,FALSE,"AS",1,"",10564,"correct","neutral"
99,132,238,TRUE,FALSE,"AS",1,"",10564,"correct","food"
100,133,314,TRUE,FALSE,"AS",1,"",10564,"correct","food"
1,132,371,TRUE,FALSE,"AS",1,"",2016,"correct","food"
2,133,371,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
3,132,142,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
4,133,245,TRUE,FALSE,"AS",1,"",2016,"correct","food"
5,133,152,FALSE,TRUE,"AS",2,"",2016,"incorrect","neutral"
6,132,169,TRUE,FALSE,"AS",1,"",2016,"correct","food"
7,133,353,TRUE,FALSE,"AS",1,"",2016,"correct","food"
8,133,NA,FALSE,FALSE,"AS",-1,"moving (7.951 px/60Hz) before target onset",2016,"drop","food"
9,133,285,TRUE,FALSE,"AS",1,"",2016,"correct","food"
10,133,NA,FALSE,FALSE,"AS",-1,"moving (6.478 px/60Hz) before target onset",2016,"drop","food"
11,132,184,FALSE,TRUE,"AS",2,"",2016,"incorrect","food"
12,132,NA,FALSE,FALSE,"AS",-1,"moving (14.892 px/60Hz) before target onset",2016,"drop","food"
13,133,132,FALSE,TRUE,"AS",2,"",2016,"incorrect","neutral"
14,133,262,TRUE,FALSE,"AS",1,"",2016,"correct","food"
15,132,248,TRUE,FALSE,"AS",1,"",2016,"correct","food"
16,132,NA,FALSE,FALSE,"AS",-1,"moving (14.250 px/60Hz) before target onset",2016,"drop","neutral"
17,133,125,FALSE,TRUE,"AS",2,"",2016,"incorrect","neutral"
18,133,127,FALSE,TRUE,"AS",2,"",2016,"incorrect","neutral"
19,133,277,TRUE,FALSE,"AS",1,"",2016,"correct","food"
20,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(64.825000) is off from baseline(130.500000)!",2016,"drop","neutral"
21,133,243,TRUE,FALSE,"AS",1,"",2016,"correct","food"
22,133,275,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
23,133,233,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
24,132,NA,FALSE,FALSE,"AS",-1,"start pos too far from center fix",2016,"drop","neutral"
25,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(196.900000) is off from baseline(130.500000)!",2016,"drop","food"
26,132,157,FALSE,TRUE,"AS",2,"",2016,"incorrect","food"
27,132,NA,FALSE,FALSE,"AS",-1,"moving (11.250 px/60Hz) before target onset",2016,"drop","food"
28,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(200.225000) is off from baseline(130.500000)!",2016,"drop","food"
29,132,179,TRUE,FALSE,"AS",1,"",2016,"correct","food"
30,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(203.975000) is off from baseline(130.500000)!",2016,"drop","neutral"
31,133,NA,FALSE,FALSE,"AS",-1,"start pos too far from center fix",2016,"drop","food"
32,133,260,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
33,133,NA,FALSE,FALSE,"AS",-1,"moving (9.442 px/60Hz) before target onset",2016,"drop","neutral"
34,132,NA,FALSE,FALSE,"AS",-1,"moving (24.136 px/60Hz) before target onset",2016,"drop","neutral"
35,133,233,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
36,132,88,FALSE,TRUE,"AS",2,"",2016,"incorrect","neutral"
37,132,254,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
38,132,NA,FALSE,FALSE,"AS",-1,"moving (15.521 px/60Hz) before target onset",2016,"drop","food"
39,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(180.525000) is off from baseline(130.500000)!",2016,"drop","neutral"
40,133,336,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
41,132,239,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
42,132,216,TRUE,FALSE,"AS",1,"",2016,"correct","food"
43,132,208,TRUE,FALSE,"AS",1,"",2016,"correct","food"
44,133,199,TRUE,FALSE,"AS",1,"",2016,"correct","food"
45,133,167,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
46,132,302,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
47,133,85,FALSE,TRUE,"AS",2,"",2016,"incorrect","neutral"
48,132,115,FALSE,TRUE,"AS",2,"",2016,"incorrect","food"
49,132,282,TRUE,FALSE,"AS",1,"",2016,"correct","food"
50,132,324,TRUE,FALSE,"AS",1,"",2016,"correct","food"
51,133,255,TRUE,FALSE,"AS",1,"",2016,"correct","food"
52,133,154,FALSE,TRUE,"AS",2,"",2016,"incorrect","neutral"
53,132,NA,FALSE,FALSE,"AS",-1,"moving (5.721 px/60Hz) before target onset",2016,"drop","food"
54,133,262,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
55,132,83,FALSE,TRUE,"AS",2,"",2016,"incorrect","food"
56,132,267,TRUE,FALSE,"AS",1,"",2016,"correct","neutral"
57,132,262,TRUE,FALSE,"AS",1,"",2016,"correct","food"
