trial	xdat	lat	fstCorrect	ErrCorr	AS	Count	Desc
1	132	235	FALSE	TRUE	AS	2	
2	133	181	FALSE	TRUE	AS	2	
3	132	149	FALSE	TRUE	AS	2	
4	133	223	TRUE	FALSE	AS	1	
5	133	NA	FALSE	FALSE	AS	-1	average fixpos(77.112500) is off from baseline(130.500000)!
6	132	NA	FALSE	FALSE	AS	-1	no saccades (getSacs)
7	133	202	FALSE	TRUE	AS	2	
8	133	392	FALSE	TRUE	AS	2	
9	133	280	TRUE	FALSE	AS	1	
10	133	253	TRUE	FALSE	AS	1	
11	132	135	FALSE	TRUE	AS	2	
12	132	376	FALSE	TRUE	AS	2	
13	133	NA	FALSE	FALSE	AS	-1	no good saccades
14	133	349	TRUE	FALSE	AS	1	
15	132	140	FALSE	TRUE	AS	2	
16	132	385	TRUE	FALSE	AS	1	
17	133	149	FALSE	TRUE	AS	2	
18	133	358	TRUE	FALSE	AS	1	
19	133	NA	FALSE	FALSE	AS	-1	average fixpos(11.237500) is off from baseline(130.500000)!
20	133	NA	FALSE	FALSE	AS	-1	average fixpos(50.187500) is off from baseline(130.500000)!
21	133	199	TRUE	FALSE	AS	1	
22	133	486	TRUE	FALSE	AS	1	
23	133	NA	FALSE	FALSE	AS	-1	no saccades (getSacs)
24	132	182	FALSE	TRUE	AS	2	
25	133	73	TRUE	FALSE	AS	1	
26	132	NA	FALSE	FALSE	AS	-1	no good saccades
27	132	498	TRUE	FALSE	AS	1	
28	132	NA	FALSE	FALSE	AS	-1	average fixpos(215.675000) is off from baseline(130.500000)!
29	132	NA	FALSE	FALSE	AS	-1	no good saccades
30	132	NA	FALSE	FALSE	AS	-1	no good saccades
31	133	235	FALSE	TRUE	AS	2	
32	133	NA	FALSE	FALSE	AS	-1	no good saccades
33	133	572	TRUE	FALSE	AS	1	
34	132	412	TRUE	FALSE	AS	1	
35	133	NA	FALSE	FALSE	AS	-1	average fixpos(245.537500) is off from baseline(130.500000)!
36	132	NA	FALSE	FALSE	AS	-1	average fixpos(58.062500) is off from baseline(130.500000)!
37	132	353	TRUE	FALSE	AS	1	
38	132	NA	FALSE	FALSE	AS	-1	average fixpos(194.637500) is off from baseline(130.500000)!
39	133	NA	FALSE	FALSE	AS	-1	average fixpos(195.512500) is off from baseline(130.500000)!
40	133	535	TRUE	FALSE	AS	1	
41	132	132	FALSE	TRUE	AS	2	
42	132	373	TRUE	FALSE	AS	1	
43	132	102	FALSE	TRUE	AS	2	
44	133	317	TRUE	FALSE	AS	1	
45	133	358	TRUE	FALSE	AS	1	
46	132	NA	FALSE	FALSE	AS	-1	poor tracking: sd of xpos Δ=40.799452
47	133	NA	FALSE	FALSE	AS	-1	moving (12.172 px/60Hz) before target onset
48	132	388	TRUE	FALSE	AS	1	
49	132	346	TRUE	FALSE	AS	1	
50	132	339	TRUE	FALSE	AS	1	
51	133	388	FALSE	FALSE	AS	0	
52	133	602	TRUE	FALSE	AS	1	
53	132	393	TRUE	FALSE	AS	1	
54	133	425	FALSE	FALSE	AS	0	
55	132	226	TRUE	FALSE	AS	1	
56	132	498	TRUE	FALSE	AS	1	
57	132	NA	FALSE	FALSE	AS	-1	average fixpos(207.612500) is off from baseline(130.500000)!
58	133	344	TRUE	FALSE	AS	1	
59	132	762	FALSE	FALSE	AS	0	
60	132	417	TRUE	FALSE	AS	1	
61	133	NA	FALSE	FALSE	AS	-1	no good saccades
62	132	NA	FALSE	FALSE	AS	-1	average fixpos(63.937500) is off from baseline(130.500000)!
63	132	372	TRUE	FALSE	AS	1	
64	132	282	TRUE	FALSE	AS	1	
65	132	NA	FALSE	FALSE	AS	-1	no saccades (getSacs)
66	133	383	TRUE	FALSE	AS	1	
67	132	825	FALSE	FALSE	AS	0	
68	133	NA	FALSE	FALSE	AS	-1	no saccades (getSacs)
69	132	152	FALSE	TRUE	AS	2	
70	133	NA	FALSE	FALSE	AS	-1	no good saccades
71	133	NA	FALSE	FALSE	AS	-1	average fixpos(58.837500) is off from baseline(130.500000)!
72	132	142	FALSE	TRUE	AS	2	
73	132	439	TRUE	FALSE	AS	1	
74	133	592	TRUE	FALSE	AS	1	
75	132	NA	FALSE	FALSE	AS	-1	average fixpos(16.425000) is off from baseline(130.500000)!
76	132	NA	FALSE	FALSE	AS	-1	average fixpos(222.300000) is off from baseline(130.500000)!
77	132	NA	FALSE	FALSE	AS	-1	no good saccades
78	132	NA	FALSE	FALSE	AS	-1	average fixpos(221.475000) is off from baseline(130.500000)!
79	132	405	TRUE	FALSE	AS	1	
80	133	NA	FALSE	FALSE	AS	-1	average fixpos(233.050000) is off from baseline(130.500000)!
81	132	NA	FALSE	FALSE	AS	-1	average fixpos(35.787500) is off from baseline(130.500000)!
82	132	NA	FALSE	FALSE	AS	-1	average fixpos(227.962500) is off from baseline(130.500000)!
83	132	144	TRUE	FALSE	AS	1	
84	132	204	TRUE	FALSE	AS	1	
85	133	314	TRUE	FALSE	AS	1	
86	132	639	FALSE	TRUE	AS	2	
87	133	830	TRUE	FALSE	AS	1	
88	133	393	TRUE	FALSE	AS	1	
89	132	162	FALSE	TRUE	AS	2	
90	132	734	TRUE	FALSE	AS	1	
91	132	142	TRUE	FALSE	AS	1	
92	133	NA	FALSE	FALSE	AS	-1	average fixpos(212.337500) is off from baseline(130.500000)!
93	133	243	TRUE	FALSE	AS	1	
94	132	734	TRUE	FALSE	AS	1	
95	132	690	TRUE	FALSE	AS	1	
96	133	523	TRUE	FALSE	AS	1	
97	133	415	TRUE	FALSE	AS	1	
98	132	NA	FALSE	FALSE	AS	-1	average fixpos(28.862500) is off from baseline(130.500000)!
99	132	NA	FALSE	FALSE	AS	-1	average fixpos(224.000000) is off from baseline(130.500000)!
100	133	174	FALSE	TRUE	AS	2	
